Country,Country_Code
Chad,+235
Paraguay,+595
Anguilla,+1-264
Macao,+853
Heard Island and McDonald Islands,+672
Yemen,+967
Senegal,+221
Tokelau,+690
French Southern Territories,+262
Guyana,+592
Jersey,+44-1534
Philippines,+63
Tonga,+676
Djibouti,+253
Norfolk Island,+672
Malaysia,+60
Fiji,+679
United States Virgin Islands,+1-340
Turkey,+90
Western Sahara,+212
Iraq,+964
Northern Mariana Islands,+1-670
Germany,+49
Comoros,+269
Afghanistan,+93
Cambodia,+855
Maldives,+960
Rwanda,+250
Saint Helena,+290
Sudan,+249
Palau,+680
France,+33
Turks and Caicos Islands,+1-649
Greece,+30
British Indian Ocean Territory (Chagos Archipelago),+246
Holy See (Vatican City State),+39-06
Sri Lanka,+94
Slovakia (Slovak Republic),+421
Montserrat,+1-664
Dominica,+1-767
Taiwan,+886
Togo,+228
Equatorial Guinea,+240
Algeria,+213
Reunion,+262
Argentina,+54
Belgium,+32
Angola,+244
San Marino,+378
Qatar,+974
Ecuador,+593
Lesotho,+266
Timor-leste,+670
Albania,+355
Madagascar,+261
Finland,+358
New Caledonia,+687
Myanmar,+95
Nicaragua,+505
Guernsey,+44-1481
Benin,+229
Sierra Leone,+232
Peru,+51
China,+86
India,+91
Bahamas,+1-242
Belarus,+375
Timor-Leste,+670
Kuwait,+965
Malta,+356
Sao Tome and Principe,+239
Marshall Islands,+692
Tuvalu,+688
Somalia,+252
Palestinian Territory,+970
Puerto Rico,+1-787
Chile,+56
Tajikistan,+992
Cayman Islands,+1-345
Bolivia,+591
Nigeria,+234
Gabon,+241
Italy,+39
Suriname,+597
Netherlands Antilles,+599
Lithuania,+370
Norway,+47
Turkmenistan,+993
Saint Pierre and Miquelon,+508
Spain,+34
Cuba,+53
South Georgia and the South Sandwich Islands,+500
Mauritania,+222
Guadeloupe,+590
Denmark,+45
Central African Republic,+236
Bangladesh,+880
Barbados,+1-246
Iran,+98
Russian Federation,+7
Ireland,+353
Liechtenstein,+423
Congo,+242
Cocos (Keeling) Islands,+61-891
Swaziland,+268
Bhutan,+975
Monaco,+377
Morocco,+212
Cape Verde,+238
Panama,+507
Hong Kong,+852
Nauru,+674
Ukraine,+380
Venezuela,+58
Saint Barthelemy,+590
Israel,+972
Iceland,+354
Saint Kitts and Nevis,+1-869
French Polynesia,+689
United States Of America,+1
United States of America,+1
Cyprus,+357
Gibraltar,+350
Uruguay,+598
Mexico,+52
Cote d'Ivoire,+225
Aruba,+297
Zimbabwe,+263
Estonia,+372
Montenegro,+382
Georgia,+995
Libyan Arab Jamahiriya,+218
Indonesia,+62
Guatemala,+502
Mongolia,+976
Guam,+1-671
Azerbaijan,+994
Grenada,+1-473
Armenia,+374
Liberia,+231
Tunisia,+216
Honduras,+504
Trinidad and Tobago,+1-868
Saudi Arabia,+966
Uganda,+256
Wallis and Futuna,+681
French Guiana,+594
Mayotte,+262
Namibia,+264
Zambia,+260
Pitcairn Islands,+64
Ethiopia,+251
Latvia,+371
Jamaica,+1-876
United Arab Emirates,+971
Bouvet Island (Bouvetoya),+47
Saint Lucia,+1-758
Saint Martin,+590
Canada,+1
Seychelles,+248
Faroe Islands,+298
Uzbekistan,+998
Samoa,+685
North Macedonia,+389
Czech Republic,+420
Mozambique,+258
Kyrgyz Republic,+996
Cook Islands,+682
Brazil,+55
Belize,+501
Kenya,+254
Lebanon,+961
Lao People's Democratic Republic,+856
Antigua and Barbuda,+1-268
Dominican Republic,+1-809
Japan,+81
Botswana,+267
Svalbard & Jan Mayen Islands,+47
Luxembourg,+352
New Zealand,+64
United States Minor Outlying Islands,+1
Greenland,+299
Bosnia and Herzegovina,+387
Haiti,+509
Portugal,+351
Papua New Guinea,+675
Australia,+61
Cameroon,+237
Guinea-Bissau,+245
Romania,+40
Solomon Islands,+677
Bulgaria,+359
Austria,+43
Nepal,+977
El Salvador,+503
Korea,+82
Costa Rica,+506
Kazakhstan,+7
Serbia,+381
Burkina Faso,+226
Micronesia,+691
Bahrain,+973
Colombia,+57
Hungary,+36
Pakistan,+92
Vanuatu,+678
Mauritius,+230
United Kingdom,+44
Moldova,+373
Syrian Arab Republic,+963
Vietnam,+84
Mali,+223
Netherlands,+31
